source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0002250,adaptive immune response,5.265784200655e-85,True,"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",537,3838,321,18452,0.083637311099531,0.5977653631284916,query_1,['GO:0006955']
GO:BP,GO:0006955,immune response,1.3505032564800024e-83,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",1619,3838,670,18452,0.17457008858780615,0.41383570105003087,query_1,"['GO:0002376', 'GO:0050896']"
GO:BP,GO:0002376,immune system process,2.338663345590186e-61,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2322,3838,811,18452,0.2113079729025534,0.34926787252368646,query_1,['GO:0008150']
GO:BP,GO:0002252,immune effector process,3.268295449581079e-45,True,"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",586,3838,278,18452,0.07243355914538822,0.47440273037542663,query_1,['GO:0002376']
GO:BP,GO:0002443,leukocyte mediated immunity,8.047129206164782e-39,True,"""Any process involved in the carrying out of an immune response by a leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",398,3838,204,18452,0.053152683689421575,0.5125628140703518,query_1,['GO:0002252']
GO:BP,GO:0002449,lymphocyte mediated immunity,1.6649025849731082e-38,True,"""Any process involved in the carrying out of an immune response by a lymphocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",315,3838,174,18452,0.045336112558624284,0.5523809523809524,query_1,['GO:0002443']
GO:BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,1.8506664863445798e-33,True,"""An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus."" [GOC:add, GOC:mtg_sensu, ISBN:0781735149, ISBN:1405196831]",334,3838,173,18452,0.04507556018759771,0.5179640718562875,query_1,['GO:0002250']
GO:BP,GO:0001775,cell activation,2.5762059683333392e-30,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",988,3838,365,18452,0.09510161542470036,0.3694331983805668,query_1,"['GO:0009987', 'GO:0032501']"
GO:BP,GO:0045321,leukocyte activation,7.059859453809993e-30,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",861,3838,328,18452,0.08546117769671704,0.38095238095238093,query_1,"['GO:0001775', 'GO:0002376']"
GO:BP,GO:0006952,defense response,9.936066083309404e-29,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1494,3838,496,18452,0.12923397602918185,0.3319946452476573,query_1,['GO:0006950']
GO:BP,GO:0042110,T cell activation,5.673185880534647e-27,True,"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]",517,3838,220,18452,0.0573215216258468,0.425531914893617,query_1,['GO:0046649']
GO:BP,GO:0002684,positive regulation of immune system process,1.1838163175682162e-26,True,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",990,3838,355,18452,0.0924960917144346,0.35858585858585856,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048518']"
GO:BP,GO:0046649,lymphocyte activation,1.2410756518435149e-26,True,"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]",723,3838,280,18452,0.07295466388744137,0.3872752420470263,query_1,['GO:0045321']
GO:BP,GO:0002682,regulation of immune system process,3.380522635554185e-26,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1401,3838,463,18452,0.12063574778530485,0.3304782298358315,query_1,"['GO:0002376', 'GO:0050789']"
GO:BP,GO:0019724,B cell mediated immunity,3.890825117132316e-26,True,"""Any process involved with the carrying out of an immune response by a B cell, through, for instance, the production of antibodies or cytokines, or antigen presentation to T cells."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",170,3838,102,18452,0.026576341844710787,0.6,query_1,"['GO:0002449', 'GO:0002460']"
GO:BP,GO:0050776,regulation of immune response,4.3020701281746246e-26,True,"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",863,3838,318,18452,0.08285565398645128,0.3684820393974508,query_1,"['GO:0002682', 'GO:0006955', 'GO:0048583']"
GO:BP,GO:0016064,immunoglobulin mediated immune response,8.62899803992701e-25,True,"""An immune response mediated by immunoglobulins, whether cell-bound or in solution."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",167,3838,99,18452,0.02579468473163106,0.592814371257485,query_1,['GO:0019724']
GO:BP,GO:0009605,response to external stimulus,1.4176003632050263e-22,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",1949,3838,588,18452,0.1532047941636269,0.30169317598768597,query_1,['GO:0050896']
GO:BP,GO:0006954,inflammatory response,1.7081419568239667e-22,True,"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]",734,3838,272,18452,0.07087024491922876,0.37057220708446864,query_1,['GO:0006952']
GO:BP,GO:0050778,positive regulation of immune response,2.1073392853260277e-22,True,"""Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",696,3838,261,18452,0.06800416883793642,0.375,query_1,"['GO:0002684', 'GO:0006955', 'GO:0048584', 'GO:0050776']"
GO:BP,GO:0002694,regulation of leukocyte activation,2.611504203637808e-22,True,"""Any process that modulates the frequency, rate, or extent of leukocyte activation."" [GOC:add]",517,3838,209,18452,0.054455445544554455,0.40425531914893614,query_1,"['GO:0002682', 'GO:0045321', 'GO:0050865']"
GO:BP,GO:0050865,regulation of cell activation,2.7783042070346376e-22,True,"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]",565,3838,223,18452,0.05810317873892652,0.39469026548672564,query_1,"['GO:0001775', 'GO:0050794', 'GO:0051239']"
GO:BP,GO:0051249,regulation of lymphocyte activation,1.1807428457284687e-21,True,"""Any process that modulates the frequency, rate or extent of lymphocyte activation."" [GOC:ai]",462,3838,191,18452,0.04976550286607608,0.4134199134199134,query_1,"['GO:0002694', 'GO:0046649']"
GO:BP,GO:0050863,regulation of T cell activation,4.071345068249469e-20,True,"""Any process that modulates the frequency, rate or extent of T cell activation."" [GOC:ai]",352,3838,154,18452,0.040125065138092754,0.4375,query_1,"['GO:0042110', 'GO:0051249']"
