source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0002250,adaptive immune response,6.529167368758546e-12,True,"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",576,3579,187,19147,0.05224923162894663,0.3246527777777778,query_1,['GO:0006955']
GO:BP,GO:0019724,B cell mediated immunity,3.582747048144728e-11,True,"""Any process involved with the carrying out of an immune response by a B cell, through, for instance, the production of antibodies or cytokines, or antigen presentation to T cells."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",185,3579,80,19147,0.022352612461581448,0.43243243243243246,query_1,"['GO:0002449', 'GO:0002460']"
GO:BP,GO:0016064,immunoglobulin mediated immune response,3.582747048144728e-11,True,"""An immune response mediated by immunoglobulins, whether cell-bound or in solution."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",182,3579,79,19147,0.02207320480581168,0.4340659340659341,query_1,['GO:0019724']
GO:BP,GO:1903046,meiotic cell cycle process,6.79857812088219e-09,True,"""A process that is part of the meiotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",174,3579,72,19147,0.020117351215423303,0.41379310344827586,query_1,"['GO:0022402', 'GO:0022414', 'GO:0051321']"
GO:BP,GO:0140013,meiotic nuclear division,3.027231938586374e-08,True,"""One of the two nuclear divisions that occur as part of the meiotic cell cycle."" [PMID:9334324]",155,3579,65,19147,0.018161497625034925,0.41935483870967744,query_1,"['GO:0000280', 'GO:1903046']"
GO:BP,GO:0000280,nuclear division,3.3523174003436245e-08,True,"""The division of a cell nucleus into two nuclei, with DNA and other nuclear contents distributed between the daughter nuclei."" [GOC:mah]",393,3579,128,19147,0.035764179938530316,0.3256997455470738,query_1,['GO:0048285']
GO:BP,GO:0061982,meiosis I cell cycle process,1.6283900181214527e-07,True,"""A process that contributes to the first meiotic division. The first meiotic division is the reductive division resulting in the separation of homologous chromosome pairs."" [PMID:29385397]",107,3579,49,19147,0.013690975132718636,0.45794392523364486,query_1,['GO:1903046']
GO:BP,GO:0051321,meiotic cell cycle,3.7031411590154977e-07,True,"""Progression through the phases of the meiotic cell cycle, in which canonically a cell replicates to produce four offspring with half the chromosomal content of the progenitor cell via two nuclear divisions."" [GOC:ai]",234,3579,84,19147,0.02347024308466052,0.358974358974359,query_1,"['GO:0007049', 'GO:0019953', 'GO:0022414']"
GO:BP,GO:0007127,meiosis I,9.615737971252507e-07,True,"""The first meiotic nuclear division in which homologous chromosomes are paired and segregated from each other, producing two haploid daughter nuclei."" [GOC:dph, GOC:jl, GOC:mtg_cell_cycle, PMID:9334324]",99,3579,45,19147,0.012573344509639563,0.45454545454545453,query_1,"['GO:0061982', 'GO:0140013']"
GO:BP,GO:0019731,antibacterial humoral response,1.0820717907656305e-06,True,"""An immune response against bacteria mediated through a body fluid. Examples of this process are the antibacterial humoral responses in Mus musculus and Drosophila melanogaster."" [GOC:go_curators, GOC:mtg_sensu]",48,3579,28,19147,0.007823414361553507,0.5833333333333334,query_1,"['GO:0019730', 'GO:0042742']"
GO:BP,GO:0098813,nuclear chromosome segregation,2.1423092394036806e-06,True,"""The process in which genetic material, in the form of nuclear chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. Nuclear chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:dos]",294,3579,97,19147,0.027102542609667504,0.3299319727891156,query_1,['GO:0007059']
GO:BP,GO:0048285,organelle fission,2.1423092394036806e-06,True,"""The creation of two or more organelles by division of one organelle."" [GOC:jid]",437,3579,132,19147,0.036881810561609385,0.30205949656750575,query_1,['GO:0006996']
GO:BP,GO:0045132,meiotic chromosome segregation,5.156634718482529e-06,True,"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets during M phase of the meiotic cell cycle."" [GOC:ai, GOC:mah]",75,3579,36,19147,0.010058675607711651,0.48,query_1,"['GO:0098813', 'GO:0140013', 'GO:1903046']"
GO:BP,GO:0019730,antimicrobial humoral response,1.6206242499765596e-05,True,"""An immune response against microbes mediated through a body fluid. Examples of this process are seen in the antimicrobial humoral response of Drosophila melanogaster and Mus musculus."" [GOC:go_curators, GOC:mtg_sensu]",101,3579,43,19147,0.012014529198100027,0.42574257425742573,query_1,"['GO:0006959', 'GO:0140546']"
GO:BP,GO:0007094,mitotic spindle assembly checkpoint signaling,1.9482662520079824e-05,True,"""A mitotic cell cycle checkpoint that delays mitotic sister chromatid separation and consequently the mitotic metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle. Spindle assembly checkpoint signaling begins with the activated Mph family kinase, and results in the inhibition of the Anaphase Promoting Complex and its activator Sleepy/Cdc20 by the mitotic checkpoint complex (MCC)."" [GOC:mtg_cell_cycle, PMID:12360190]",48,3579,26,19147,0.0072645990500139705,0.5416666666666666,query_1,"['GO:0045841', 'GO:0071173', 'GO:0071174']"
GO:BP,GO:0007059,chromosome segregation,1.9482662520079824e-05,True,"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:jl, GOC:mah, GOC:mtg_cell_cycle, GOC:vw]",399,3579,119,19147,0.033249511036602404,0.2982456140350877,query_1,['GO:0022402']
GO:BP,GO:0071173,spindle assembly checkpoint signaling,1.9482662520079824e-05,True,"""A signaling process that delays the metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle."" [GOC:mah]",48,3579,26,19147,0.0072645990500139705,0.5416666666666666,query_1,['GO:0031577']
GO:BP,GO:0071174,mitotic spindle checkpoint signaling,1.9482662520079824e-05,True,"""A signaling process that contributes to a mitotic cell cycle checkpoint that originates from the spindle and delays the metaphase/anaphase transition of a mitotic nuclear division until the spindle is correctly assembled and oriented, the completion of anaphase until chromosomes are attached to the spindle, or mitotic exit and cytokinesis when the spindle does not form."" [GOC:mtg_cell_cycle]",48,3579,26,19147,0.0072645990500139705,0.5416666666666666,query_1,"['GO:0007093', 'GO:0031577']"
GO:BP,GO:0031577,spindle checkpoint signaling,3.2332704138581184e-05,True,"""A signaling process that that controls a cell cycle checkpoint that originates from the mitotic or meiotic spindle."" [GOC:mtg_cell_cycle]",49,3579,26,19147,0.0072645990500139705,0.5306122448979592,query_1,['GO:0000075']
GO:BP,GO:0033048,negative regulation of mitotic sister chromatid segregation,4.2097458029065854e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of sister chromatid segregation during mitosis."" [GOC:mah]",50,3579,26,19147,0.0072645990500139705,0.52,query_1,"['GO:0000070', 'GO:0033046', 'GO:0033047']"
GO:BP,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,4.2097458029065854e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."" [GOC:go_curators]",50,3579,26,19147,0.0072645990500139705,0.52,query_1,"['GO:0007091', 'GO:0030071', 'GO:0045839', 'GO:1901991', 'GO:1902100', 'GO:2000816']"
GO:BP,GO:0048706,embryonic skeletal system development,4.2097458029065854e-05,True,"""The process, occurring during the embryonic phase, whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure."" [GOC:dph, GOC:dsf, GOC:jid, GOC:tb, PMID:16049113]",116,3579,46,19147,0.012852752165409332,0.39655172413793105,query_1,"['GO:0001501', 'GO:0043009']"
GO:BP,GO:0051784,negative regulation of nuclear division,4.2097458029065854e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of nuclear division, the partitioning of the nucleus and its genetic information."" [GOC:ai]",62,3579,30,19147,0.008382229673093043,0.4838709677419355,query_1,"['GO:0000280', 'GO:0010639', 'GO:0051783']"
GO:BP,GO:2000816,negative regulation of mitotic sister chromatid separation,4.2097458029065854e-05,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of mitotic sister chromatid separation."" [GOC:obol]",50,3579,26,19147,0.0072645990500139705,0.52,query_1,"['GO:0010965', 'GO:0033048', 'GO:0051306', 'GO:1905819']"
GO:BP,GO:0033046,negative regulation of sister chromatid segregation,4.2097458029065854e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of sister chromatid segregation."" [GOC:mah]",50,3579,26,19147,0.0072645990500139705,0.52,query_1,"['GO:0000819', 'GO:0033045', 'GO:0051985', 'GO:2001251']"
GO:BP,GO:0007088,regulation of mitotic nuclear division,4.6047916530464955e-05,True,"""Any process that modulates the frequency, rate or extent of mitosis."" [GOC:go_curators]",113,3579,45,19147,0.012573344509639563,0.39823008849557523,query_1,"['GO:0007346', 'GO:0010564', 'GO:0051783', 'GO:0140014']"
GO:BP,GO:0071459,"protein localization to chromosome, centromeric region",5.7014179486710244e-05,True,"""Any process in which a protein is transported to, or maintained at, the centromeric region of a chromosome."" [GOC:mah]",31,3579,19,19147,0.005308745459625594,0.6129032258064516,query_1,['GO:0034502']
GO:BP,GO:0051985,negative regulation of chromosome segregation,5.7014179486710244e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of chromosome segregation, the process in which genetic material, in the form of chromosomes, is organized and then physically separated and apportioned to two or more sets."" [GOC:ai]",51,3579,26,19147,0.0072645990500139705,0.5098039215686274,query_1,"['GO:0007059', 'GO:0010948', 'GO:0051983']"
GO:BP,GO:1905819,negative regulation of chromosome separation,5.7014179486710244e-05,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of chromosome separation."" [GO_REF:0000058, GOC:bhm, GOC:TermGenie, PMID:21795393]",51,3579,26,19147,0.0072645990500139705,0.5098039215686274,query_1,"['GO:0051304', 'GO:0051985', 'GO:1905818']"
GO:BP,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,5.7014179486710244e-05,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of metaphase/anaphase transition of cell cycle."" [GOC:mtg_cell_cycle, GOC:TermGenie]",51,3579,26,19147,0.0072645990500139705,0.5098039215686274,query_1,"['GO:0044784', 'GO:1901988', 'GO:1902099']"
GO:BP,GO:0045143,homologous chromosome segregation,5.7014179486710244e-05,True,"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the first division of the meiotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner; this pairing off, referred to as synapsis, permits genetic recombination. One homolog (both sister chromatids) of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, ISBN:0815316194]",48,3579,25,19147,0.006985191394244202,0.5208333333333334,query_1,"['GO:0007127', 'GO:0045132']"
GO:BP,GO:0010965,regulation of mitotic sister chromatid separation,7.707710359807494e-05,True,"""Any process that modulates the frequency, rate or extent of mitotic sister chromatid separation. Mitotic sister chromatid separation is the process in which sister chromatids are physically detached from each other during mitosis."" [GOC:dph, GOC:tb]",61,3579,29,19147,0.008102822017323274,0.47540983606557374,query_1,"['GO:0051306', 'GO:1905818']"
GO:BP,GO:0045839,negative regulation of mitotic nuclear division,8.002187237680671e-05,True,"""Any process that stops, prevents or reduces the rate or extent of mitosis. Mitosis is the division of the eukaryotic cell nucleus to produce two daughter nuclei that, usually, contain the identical chromosome complement to their mother."" [GOC:dph, GOC:go_curators, GOC:tb]",58,3579,28,19147,0.007823414361553507,0.4827586206896552,query_1,"['GO:0007088', 'GO:0010948', 'GO:0045930', 'GO:0051784', 'GO:0140014']"
GO:BP,GO:0048704,embryonic skeletal system morphogenesis,8.390409435910658e-05,True,"""The process in which the anatomical structures of the skeleton are generated and organized during the embryonic phase."" [GOC:dph, GOC:dsf, GOC:jid, GOC:tb, PMID:16049113]",81,3579,35,19147,0.009779267951941882,0.43209876543209874,query_1,"['GO:0048562', 'GO:0048705', 'GO:0048706']"
GO:BP,GO:0000070,mitotic sister chromatid segregation,9.645350407403428e-05,True,"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]",188,3579,64,19147,0.017882089969265158,0.3404255319148936,query_1,"['GO:0000819', 'GO:0140014', 'GO:1903047']"
GO:BP,GO:1905818,regulation of chromosome separation,0.00010271468293842579,True,"""Any process that modulates the frequency, rate or extent of chromosome separation."" [GO_REF:0000058, GOC:bhm, GOC:TermGenie, PMID:21795393]",75,3579,33,19147,0.009220452640402346,0.44,query_1,"['GO:0051304', 'GO:0051983']"
