source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0032501,multicellular organismal process,2.0127310338111517e-35,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",5834,1896,834,19147,0.439873417721519,0.14295509084676036,query_1,['GO:0008150']
GO:BP,GO:0048870,cell motility,4.475078941107498e-34,True,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",1588,1896,319,19147,0.16824894514767932,0.2008816120906801,query_1,['GO:0009987']
GO:BP,GO:0048856,anatomical structure development,1.796090220116583e-27,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5040,1896,716,19147,0.37763713080168776,0.14206349206349206,query_1,['GO:0032502']
GO:BP,GO:0051239,regulation of multicellular organismal process,3.065532610273714e-26,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2562,1896,423,19147,0.2231012658227848,0.16510538641686182,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0007154,cell communication,1.1927800378590657e-25,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",5295,1896,736,19147,0.3881856540084388,0.13899905571293672,query_1,['GO:0009987']
GO:BP,GO:0007275,multicellular organism development,1.2953191489022017e-25,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4072,1896,599,19147,0.3159282700421941,0.14710216110019647,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0001944,vasculature development,2.3880217940713683e-25,True,"""The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."" [GOC:dph, UBERON:0002409]",709,1896,169,19147,0.08913502109704641,0.2383638928067701,query_1,"['GO:0048731', 'GO:0072359']"
GO:BP,GO:0032502,developmental process,2.3880217940713683e-25,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",5479,1896,754,19147,0.39767932489451474,0.13761635334915132,query_1,['GO:0008150']
GO:BP,GO:0072359,circulatory system development,4.153578620409345e-25,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1047,1896,219,19147,0.11550632911392406,0.20916905444126074,query_1,['GO:0048731']
GO:BP,GO:0023052,signaling,1.3293941562286496e-24,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",5272,1896,728,19147,0.38396624472573837,0.13808801213960548,query_1,['GO:0050789']
GO:BP,GO:0040011,locomotion,1.73013282515795e-24,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1115,1896,227,19147,0.11972573839662447,0.20358744394618833,query_1,['GO:0008150']
GO:BP,GO:0007155,cell adhesion,1.9573253510188306e-24,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1361,1896,261,19147,0.13765822784810128,0.19177075679647318,query_1,['GO:0009987']
GO:BP,GO:0001568,blood vessel development,4.660773715359199e-24,True,"""The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."" [GOC:hjd, UBERON:0001981]",678,1896,161,19147,0.084915611814346,0.2374631268436578,query_1,"['GO:0001944', 'GO:0048856']"
GO:BP,GO:0048731,system development,1.645224446575091e-23,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",3485,1896,522,19147,0.27531645569620256,0.1497847919655667,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0003341,cilium movement,6.917153179118229e-23,True,"""The directed, self-propelled movement of a cilium."" [GOC:dph, GOC:jl]",201,1896,75,19147,0.03955696202531646,0.373134328358209,query_1,['GO:0007018']
GO:BP,GO:0016477,cell migration,2.1135281584475838e-22,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1390,1896,259,19147,0.13660337552742616,0.18633093525179856,query_1,['GO:0048870']
GO:BP,GO:0007165,signal transduction,4.593549062325237e-22,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",4858,1896,671,19147,0.35390295358649787,0.13812268423219431,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:0048514,blood vessel morphogenesis,1.4615605294956712e-21,True,"""The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood."" [GOC:jid]",592,1896,142,19147,0.07489451476793249,0.23986486486486486,query_1,"['GO:0001568', 'GO:0035239']"
GO:BP,GO:0009653,anatomical structure morphogenesis,2.1438864296749287e-21,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2363,1896,380,19147,0.20042194092827004,0.1608125264494287,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0001525,angiogenesis,4.257509380318647e-21,True,"""Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels."" [ISBN:0878932453]",511,1896,128,19147,0.06751054852320675,0.25048923679060664,query_1,"['GO:0048514', 'GO:0048646']"
GO:BP,GO:0030154,cell differentiation,1.4982447334704758e-20,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",3696,1896,534,19147,0.28164556962025317,0.1444805194805195,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,1.5250128093459615e-20,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",3697,1896,534,19147,0.28164556962025317,0.14444143900459833,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0003008,system process,1.581116274899732e-20,True,"""A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective."" [GOC:mtg_cardio]",1487,1896,266,19147,0.14029535864978904,0.1788836583725622,query_1,['GO:0032501']
GO:BP,GO:0048646,anatomical structure formation involved in morphogenesis,2.530727083775348e-20,True,"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]",1055,1896,207,19147,0.10917721518987342,0.1962085308056872,query_1,"['GO:0009653', 'GO:0032502']"
GO:BP,GO:0040012,regulation of locomotion,4.93042833660397e-20,True,"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]",961,1896,193,19147,0.10179324894514769,0.2008324661810614,query_1,"['GO:0040011', 'GO:0050789']"
GO:BP,GO:0035239,tube morphogenesis,4.863147430210138e-19,True,"""The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:bf, PMID:14624839]",818,1896,170,19147,0.08966244725738397,0.2078239608801956,query_1,"['GO:0009653', 'GO:0035295']"
GO:BP,GO:0035295,tube development,8.295497346025309e-19,True,"""The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts."" [PMID:12526790]",1006,1896,196,19147,0.10337552742616034,0.19483101391650098,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0048513,animal organ development,1.1601523001672266e-18,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",2524,1896,389,19147,0.205168776371308,0.1541204437400951,query_1,['GO:0048856']
